TOWN_ID,C_Name,T_Name,Address,disastertype,Time,situation,Lon,Lat
1000508,苗栗縣,大湖鄉,苗栗縣大湖鄉內臺三線雙向封閉,淹水,2009-8-9 18:12,臺三線南湖二橋達警戒水位,120.864189,24.429363
1000801,南投縣,南投市,小溪橋附近,淹水,2009-8-9 05:50,水位暴漲，溢過堤防，積水約30公分,120.692518,23.374958
1000802,南投縣,埔里鎮,蜈蚣里榮光橋,淹水,2009-8-9 18:26,堤防破堤危機,0,0
1000802,南投縣,埔里鎮,福興里大坑,淹水,2009-8-9 18:18,排洪道護岸破堤,0,0
1000802,南投縣,埔里鎮,蜈蚣里獅仔頭溪,淹水,2009-8-9 18:23,蜈蚣里獅仔頭溪有瀑漲危機,0,0
1000804,南投縣,竹山鎮,龍門大橋下游400公尺處,淹水,2009-8-9 12:17,堤坊潰堤,121.019285,24.206466
1000805,南投縣,集集鎮,南投縣集集鎮臺16線11K處,淹水,2009-8-9 16:44,8月9日4時左右，臺16線11k處路基淘空，目前7車(CS-83**、62*-JC、86**-XY、MN-15**、33**-NY、N5-93**、HN-43**)、13人(10男、3女)，疑似遭洪水沖走,120.78695,23.828237
1000806,南投縣,名間鄉,臺3線名竹大橋,淹水,2009-8-9 00:30,溪水暴漲，有安全之虞,120.464118,23.468658
1000810,南投縣,國姓鄉,投84線石門村通往北港村之港門橋,淹水,2009-8-9 13:55,水位達警戒線,120.707683,23.461897
1000811,南投縣,水里鄉,水里鄉永興橋,淹水,2009-8-9 13:58,水位達警戒線,120.855721,23.815547
1000811,南投縣,水里鄉,豊丘村十八重溪,淹水,2009-8-9 14:38,溪水暴漲恐堤防潰堤,120.707683,23.461897
1000812,南投縣,信義鄉,信義鄉望美村,淹水,2009-8-9 14:00,陳有蘭溪潰堤當地居民受困,120.886528,23.616085
1000812,南投縣,信義鄉,神木巷同富國小上方,淹水,2009-8-9 06:55,溪水暴漲，約200人受困，無安全顧慮，有斷糧之虞,0,0
1001001,嘉義縣,太保市,嘉義縣太保市新埤里勞工花園新城,淹水,2009-8-9 10:08,太保市新埤里勞工花園新城淹水到樓梯口，缺乏水及物資，王小姐09****1214。,120.336799,23.478244
1001001,嘉義縣,太保市,嘉義縣太保市東勢里,淹水,2009-8-9 14:09,太保市東勢里已開始淹水，水已開始淹入民宅，請派員協助。,120.304589,23.4708
1001001,嘉義縣,太保市,嘉義縣太保市勞工住宅新安一街2巷9號,淹水,2009-8-9 05:51,3-4人電梯受困，現場淹水，越來越高。,120.357014,23.498843
1001001,嘉義縣,太保市,嘉義縣太保市新埤里232-5號,淹水,2009-8-9 09:50,太保市新埤國小側門附近淹水約60公分請求協助,120.336799,23.478244
1001001,嘉義縣,太保市,嘉義縣太保市六興橋溪南至溪北橋頭有破洞,淹水,2009-8-9 06:18,該處淹水請求填補並派抽水機。,120.333224,23.491395
1001001,嘉義縣,太保市,嘉義縣太保市勞工住宅,淹水,2009-8-9 05:44,淹水請求抽水機,120.333224,23.491395
1001002,嘉義縣,朴子市,嘉義縣朴子市竹村里一帶,淹水,2009-8-9 14:36,上述地點淹水及胸四鴨母寮大牌破堤,120.25121,23.437762
